"service_id","date","exception_type"
"2","20170421","1"
"0","20170421","2"
"2","20170501","1"
"0","20170501","2"
"2","20170615","1"
"0","20170615","2"
"2","20170907","1"
"0","20170907","2"
"2","20171012","1"
"0","20171012","2"
"2","20171102","1"
"0","20171102","2"
"2","20171115","1"
"0","20171115","2"
"2","20171225","1"
"0","20171225","2"
"2","20170101","1"
"0","20170101","2"
"2","20180213","1"
"0","20180213","2"
"2","20180330","1"
"0","20180330","2"
"2","20180501","1"
"0","20180501","2"
"2","20180531","1"
"0","20180531","2"
