"fare_id","route_id","origin_id","destination_id","contains_id"
"423032","423032","","",""
"423060","423060","","",""
"425007","425007","","",""
"425057","425057","","",""
"425098","425098","","",""
"426023","426023","","",""
"426049","426049","","",""
"427059","427059","","",""
"429060","429060","","",""
"429095","429095","","",""
"431051","431051","","",""
"432075","432075","","",""
"434012","434012","","",""
"434065","434065","","",""
"434072","434072","","",""
"436020","436020","","",""
"436040","436040","","",""
"437018","437018","","",""
"437044","437044","","",""
"437065","437065","","",""
"440100","440100","","",""
"444081","444081","","",""
"445062","445062","","",""
"446086","446086","","",""
"447007","447007","","",""
"472006","472006","","",""
"478001","478001","","",""
"478016","478016","","",""
"479017","479017","","",""
"483020","483020","","",""
"483100","483100","","",""
"488003","488003","","",""
"500025","500025","","",""
"501002","501002","","",""
"502070","502070","","",""
"503019","503019","","",""
"503048","503048","","",""
"505050","505050","","",""
"506038","506038","","",""
"506041","506041","","",""
"506078","506078","","",""
"507059","507059","","",""
"537239","537239","","",""
"537272","537272","","",""
"537363","537363","","",""
"537473","537473","","",""
"537475","537475","","",""
"537498","537498","","",""
"537567","537567","","",""
"537665","537665","","",""
"537757","537757","","",""
"538065","538065","","",""
"538250","538250","","",""
"538436","538436","","",""
"538462","538462","","",""
"538587","538587","","",""
"538615","538615","","",""
"539136","539136","","",""
"539404","539404","","",""
"539410","539410","","",""
"540006","540006","","",""
"540123","540123","","",""
"540285","540285","","",""
"540298","540298","","",""
"540301","540301","","",""
"540351","540351","","",""
"540538","540538","","",""
"540577","540577","","",""
"540587","540587","","",""
"540600","540600","","",""
"540612","540612","","",""
"540683","540683","","",""
"541087","541087","","",""
"541264","541264","","",""
"541400","541400","","",""
"541457","541457","","",""
"541471","541471","","",""
"541496","541496","","",""
"541591","541591","","",""
"541652","541652","","",""
"541796","541796","","",""
"542356","542356","","",""
"542397","542397","","",""
"542408","542408","","",""
"542466","542466","","",""
"543030","543030","","",""
"543121","543121","","",""
"543214","543214","","",""
"543268","543268","","",""
"543425","543425","","",""
"544341","544341","","",""
"544403","544403","","",""
"545147","545147","","",""
"545183","545183","","",""
"545320","545320","","",""
"546022","546022","","",""
"546055","546055","","",""
"546059","546059","","",""
"546165","546165","","",""
"546221","546221","","",""
"546244","546244","","",""
"546273","546273","","",""
"546279","546279","","",""
"546388","546388","","",""
"546445","546445","","",""
"546514","546514","","",""
"547086","547086","","",""
"547157","547157","","",""
"547219","547219","","",""
"547262","547262","","",""
"547285","547285","","",""
"547309","547309","","",""
"547391","547391","","",""
"547416","547416","","",""
"547425","547425","","",""
