"trip_id","arrival_time","departure_time","stop_id","stop_sequence","shape_dist_traveled"
"540301_volta_0_0","04:51:00","04:51:00","551286","0","30.0"
"540301_volta_0_0","04:52:03","04:52:03","544274","1","552.0"
"540301_volta_0_0","04:53:11","04:53:11","545264","2","1128.0"
"540301_volta_0_0","04:53:55","04:53:55","542252","3","1506.0"
"540301_volta_0_0","04:55:02","04:55:02","539261","4","2115.0"
"540301_volta_0_0","04:55:56","04:55:56","551287","5","2555.0"
"540301_volta_0_0","04:57:02","04:57:02","537281","6","3113.0"
"540301_volta_0_0","04:57:39","04:57:39","537282","7","3432.0"
"540301_volta_0_0","04:58:29","04:58:29","540299","8","3858.0"
"540301_volta_0_0","04:59:28","04:59:28","545266","9","4372.0"
"540301_volta_0_0","05:00:59","05:00:59","5824138007019520","10","5154.0"
"540301_volta_1_0","04:50:00","04:50:00","551286","0","30.0"
"540301_volta_1_0","04:51:03","04:51:03","544274","1","552.0"
"540301_volta_1_0","04:52:11","04:52:11","545264","2","1128.0"
"540301_volta_1_0","04:52:55","04:52:55","542252","3","1506.0"
"540301_volta_1_0","04:54:02","04:54:02","539261","4","2115.0"
"540301_volta_1_0","04:54:56","04:54:56","551287","5","2555.0"
"540301_volta_1_0","04:56:02","04:56:02","537281","6","3113.0"
"540301_volta_1_0","04:56:39","04:56:39","537282","7","3432.0"
"540301_volta_1_0","04:57:29","04:57:29","540299","8","3858.0"
"540301_volta_1_0","04:58:28","04:58:28","545266","9","4372.0"
"540301_volta_1_0","04:59:59","04:59:59","5824138007019520","10","5154.0"
"540301_volta_2_0","05:00:00","05:00:00","551286","0","30.0"
"540301_volta_2_0","05:01:03","05:01:03","544274","1","552.0"
"540301_volta_2_0","05:02:11","05:02:11","545264","2","1128.0"
"540301_volta_2_0","05:02:55","05:02:55","542252","3","1506.0"
"540301_volta_2_0","05:04:02","05:04:02","539261","4","2115.0"
"540301_volta_2_0","05:04:56","05:04:56","551287","5","2555.0"
"540301_volta_2_0","05:06:02","05:06:02","537281","6","3113.0"
"540301_volta_2_0","05:06:39","05:06:39","537282","7","3432.0"
"540301_volta_2_0","05:07:29","05:07:29","540299","8","3858.0"
"540301_volta_2_0","05:08:28","05:08:28","545266","9","4372.0"
"540301_volta_2_0","05:09:59","05:09:59","5824138007019520","10","5154.0"
"540301_ida_0_0","04:40:00","04:40:00","5824138007019520","0","1.0"
"540301_ida_0_0","04:41:34","04:41:34","548303","1","807.0"
"540301_ida_0_0","04:42:35","04:42:35","540299","2","1357.0"
"540301_ida_0_0","04:43:23","04:43:23","542251","3","1748.0"
"540301_ida_0_0","04:43:57","04:43:57","537281","4","2036.0"
"540301_ida_0_0","04:45:00","04:45:00","544273","5","2579.0"
"540301_ida_0_0","04:45:56","04:45:56","541256","6","3052.0"
"540301_ida_0_0","04:47:02","04:47:02","543258","7","3617.0"
"540301_ida_0_0","04:47:54","04:47:54","550260","8","4067.0"
"540301_ida_0_0","04:48:58","04:48:58","544274","9","4617.0"
"540301_ida_0_0","04:49:56","04:49:56","551286","10","5115.0"
"540301_ida_1_0","04:35:00","04:35:00","5824138007019520","0","1.0"
"540301_ida_1_0","04:36:34","04:36:34","548303","1","807.0"
"540301_ida_1_0","04:37:35","04:37:35","540299","2","1357.0"
"540301_ida_1_0","04:38:23","04:38:23","542251","3","1748.0"
"540301_ida_1_0","04:38:57","04:38:57","537281","4","2036.0"
"540301_ida_1_0","04:40:00","04:40:00","544273","5","2579.0"
"540301_ida_1_0","04:40:56","04:40:56","541256","6","3052.0"
"540301_ida_1_0","04:42:02","04:42:02","543258","7","3617.0"
"540301_ida_1_0","04:42:54","04:42:54","550260","8","4067.0"
"540301_ida_1_0","04:43:58","04:43:58","544274","9","4617.0"
"540301_ida_1_0","04:44:56","04:44:56","551286","10","5115.0"
"540301_ida_2_0","05:00:00","05:00:00","5824138007019520","0","1.0"
"540301_ida_2_0","05:01:34","05:01:34","548303","1","807.0"
"540301_ida_2_0","05:02:35","05:02:35","540299","2","1357.0"
"540301_ida_2_0","05:03:23","05:03:23","542251","3","1748.0"
"540301_ida_2_0","05:03:57","05:03:57","537281","4","2036.0"
"540301_ida_2_0","05:05:00","05:05:00","544273","5","2579.0"
"540301_ida_2_0","05:05:56","05:05:56","541256","6","3052.0"
"540301_ida_2_0","05:07:02","05:07:02","543258","7","3617.0"
"540301_ida_2_0","05:07:54","05:07:54","550260","8","4067.0"
"540301_ida_2_0","05:08:58","05:08:58","544274","9","4617.0"
"540301_ida_2_0","05:09:56","05:09:56","551286","10","5115.0"
"540301_volta_0_1","04:58:00","04:58:00","551286","0","30.0"
"540301_volta_0_1","04:59:03","04:59:03","544274","1","552.0"
"540301_volta_0_1","05:00:11","05:00:11","545264","2","1128.0"
"540301_volta_0_1","05:00:55","05:00:55","542252","3","1506.0"
"540301_volta_0_1","05:02:02","05:02:02","539261","4","2115.0"
"540301_volta_0_1","05:02:56","05:02:56","551287","5","2555.0"
"540301_volta_0_1","05:04:02","05:04:02","537281","6","3113.0"
"540301_volta_0_1","05:04:39","05:04:39","537282","7","3432.0"
"540301_volta_0_1","05:05:29","05:05:29","540299","8","3858.0"
"540301_volta_0_1","05:06:28","05:06:28","545266","9","4372.0"
"540301_volta_0_1","05:07:59","05:07:59","5824138007019520","10","5154.0"
"540301_volta_0_2","05:05:00","05:05:00","551286","0","30.0"
"540301_volta_0_2","05:06:03","05:06:03","544274","1","552.0"
"540301_volta_0_2","05:07:11","05:07:11","545264","2","1128.0"
